magnitude,mmi,sig,nst,dmin,gap,depth,latitude,longitude
6.5,5.0,650.0,322.0,0.0,15.0,35.0,-18.308,168.156
6.5,3.0,650.0,97.0,1.61607,108.0,37.0,52.502,-168.08
7.0,8.0,1245.0,365.0,0.0,15.8,12.0,-43.522,171.83
7.2,7.0,804.0,770.0,0.0,10.1,110.0,46.221,150.788
6.7,6.0,691.0,0.0,6.697,19.0,24.0,-14.0683,166.624
6.7,4.0,698.0,0.0,1.079,25.0,22.0,-37.6478,179.662
7.5,7.0,865.0,324.0,0.0,0.0,33.0,6.898,126.579
7.0,7.0,755.0,640.0,0.0,11.4,66.0,-3.517,138.476
7.2,7.0,1384.0,0.0,0.142,82.0,22.0,16.3855,-97.9787
7.0,7.0,820.0,0.0,1.671,18.0,73.0,-7.847,147.755
7.0,7.0,1052.0,0.0,2.378,35.0,43.0,38.4752,141.607
6.9,8.0,888.0,654.0,0.0,17.1,7.8,39.03,140.881
6.6,2.0,670.0,131.0,4.998,27.0,624.464,-25.5948,178.278
7.0,3.0,755.0,147.0,3.125,18.0,579.0,-20.0508,-178.346
6.7,7.0,704.0,481.0,0.0,30.3,45.0,-22.954,-70.182
6.6,7.0,671.0,0.0,2.486,13.0,18.0,-0.6212,131.262
6.6,7.0,671.0,0.0,4.591,14.0,17.0,56.9401,162.786
7.2,7.0,799.0,0.0,0.958,17.0,177.0,53.9776,158.546
7.5,7.0,872.0,0.0,0.666,19.0,41.0,-4.7294,152.562
6.9,5.0,740.0,544.0,0.0,25.9,24.0,13.351,125.63
7.2,6.0,802.0,385.0,0.0,27.9,39.2,6.91,92.958
8.16,9.0,1024.0,0.0,0.0,0.0,27.0,41.815,143.91
6.5,7.0,1018.0,0.0,0.0,0.0,11.0,38.67,20.6
6.6,5.0,672.0,0.0,3.183,18.0,13.23,54.7018,163.208
6.6,4.0,673.0,0.0,5.086,48.0,10.0,-18.5747,-175.272
6.6,7.0,670.0,518.0,0.0,24.7,10.0,19.917,95.672
6.9,5.0,732.0,733.0,0.0,26.7,174.8,55.492,159.999
6.8,7.0,711.0,385.0,0.0,0.0,16.0,-9.613,159.53
6.9,5.0,734.0,374.0,0.0,24.1,25.0,2.872,127.464
7.2,7.0,1449.0,372.0,0.0,25.3,68.0,28.777,63.951
6.6,7.0,736.0,255.0,0.0,27.8,18.0,-36.665,-73.374
6.5,7.0,653.0,272.0,0.0,27.6,18.0,-8.224,118.467
6.9,7.0,1642.0,0.0,0.356,39.0,28.0,-33.0375,-72.0617
7.5,5.0,1623.0,0.0,4.581,12.0,19.0,17.4825,-83.52
6.6,6.0,672.0,280.0,0.0,26.9,16.0,-10.95,162.149
6.6,7.0,1064.0,0.0,0.913,16.0,7.0,36.9293,27.4139
6.9,9.0,773.0,410.0,0.0,14.9,17.0,33.165,96.548
8.4,6.0,1086.0,411.0,0.0,32.3,34.0,-4.438,101.367
6.8,9.0,711.0,534.0,0.0,19.4,12.0,36.964,3.634
7.1,8.0,1092.0,0.0,3.144,12.0,19.04,9.8796,124.117
7.9,9.0,1870.0,774.0,0.0,11.3,19.0,31.002,103.322
6.7,6.0,691.0,253.0,0.0,40.3,12.0,-1.034,126.976
7.1,5.0,776.0,0.0,2.548,23.0,21.43,-22.0295,170.126
6.6,7.0,670.0,420.0,0.0,0.0,54.0,-30.805,-71.124
7.1,6.0,780.0,334.0,0.0,16.5,21.0,-10.928,166.018
6.6,7.0,670.0,697.0,0.0,15.3,11.0,67.631,142.508
6.6,5.0,674.0,0.0,0.788,29.0,22.0,-21.6484,168.859
6.6,4.0,670.0,0.0,2.679,31.0,10.0,-22.0629,169.733
6.5,5.0,652.0,0.0,1.549,9.0,35.0,2.2999,127.056
7.5,6.0,865.0,0.0,3.82,16.0,43.37,-6.7547,155.024
7.8,3.0,948.0,0.0,7.009,20.0,24.0,-4.9521,94.3299
6.9,6.0,744.0,0.0,0.821,43.0,10.0,-29.5097,-72.0585
6.5,7.0,657.0,0.0,1.53,21.0,20.0,-8.3381,124.875
6.6,9.0,1075.0,0.0,1.13,32.0,35.0,42.6861,141.929
6.5,5.0,651.0,0.0,15.394,31.0,10.0,0.8696,-29.7046
6.6,5.0,762.0,0.0,0.914,94.0,27.0,11.5538,-86.9919
6.6,8.0,670.0,782.0,0.0,37.0,16.0,37.226,138.779
6.5,3.0,739.0,0.0,3.276,26.0,402.0,29.9377,138.833
6.5,5.0,650.0,0.0,0.409,20.0,122.0,-15.0691,167.372
6.5,6.0,657.0,478.0,0.0,21.2,30.0,-1.714,99.779
7.0,9.0,1623.0,500.0,0.0,22.7,13.0,18.443,-72.571
6.5,9.0,1390.0,65.0,0.04685,71.0,8.382,35.7005,-121.101
7.0,7.0,755.0,0.0,0.616,14.0,24.0,-16.0429,167.379
7.7,6.0,1812.0,0.0,1.657,26.0,14.86,19.4193,-78.756
7.0,4.0,869.0,0.0,2.501,42.0,267.0,-14.7131,-70.1546
6.7,7.0,833.0,596.0,0.0,13.4,12.0,51.708,95.991
7.2,6.0,798.0,427.0,0.0,0.0,21.0,-17.6,167.856
6.7,5.0,696.0,503.0,0.0,26.9,30.0,-1.999,100.141
6.6,3.0,670.0,0.0,8.865,19.0,7.0,-60.1023,-24.4608
6.7,5.0,692.0,0.0,6.787,25.0,27.59,-13.9805,166.594
7.5,6.0,871.0,0.0,2.405,18.0,10.0,-21.9496,169.427
6.6,6.0,670.0,386.0,0.0,0.0,10.0,-17.664,168.004
6.7,4.0,691.0,20.0,0.0,205.2,33.0,52.48,-167.736
6.8,3.0,715.0,0.0,1.181,16.0,570.41,-8.144,-71.587
6.5,2.0,653.0,236.0,1.999,31.0,622.73,-9.0618,-71.1647
7.1,4.0,872.0,0.0,3.968,10.0,35.0,37.1557,144.661
6.7,5.0,691.0,386.0,0.0,27.6,65.8,-9.362,122.839
6.5,6.0,1171.0,599.0,0.0,54.1,20.0,18.229,-102.689
6.7,5.0,731.0,695.0,0.0,20.9,34.0,0.587,98.459
6.7,6.0,856.0,312.0,0.0,34.7,18.0,-36.217,-73.257
7.5,7.0,870.0,301.0,0.0,33.8,10.0,-8.152,124.868
7.0,7.0,754.0,254.0,0.0,0.0,33.0,-5.912,150.196
6.7,6.0,934.0,769.0,0.0,19.7,66.0,36.311,23.212
6.5,5.0,692.0,650.0,0.0,30.7,28.0,36.345,21.863
7.0,9.0,891.0,412.0,0.0,23.2,11.0,-21.324,33.583
6.8,6.0,711.0,459.0,0.0,28.4,38.0,-6.759,155.512
6.9,8.0,1704.0,0.0,2.271,15.0,34.0,-8.2581,116.438
6.9,7.0,741.0,0.0,0.579,54.0,93.0,-14.892,167.085
6.6,4.0,734.0,0.0,2.015,18.0,165.0,28.9386,128.262
6.7,7.0,691.0,518.0,0.0,26.9,29.0,-32.625,-71.365
6.8,7.0,825.0,0.0,0.546,39.0,18.0,6.6969,125.174
7.4,6.0,842.0,221.0,0.0,0.0,36.0,-4.68,102.562
6.6,6.0,670.0,384.0,0.0,25.1,35.0,-5.581,150.88
6.7,8.0,691.0,333.0,0.0,0.0,11.0,-3.212,142.427
7.9,7.0,972.0,0.0,1.389,13.0,94.54,-4.5049,153.522
7.4,8.0,1752.0,672.0,0.0,37.9,20.0,16.493,-98.231
6.6,6.0,976.0,0.0,1.168,21.0,21.0,35.1456,31.9095
6.7,6.0,696.0,392.0,0.0,18.7,35.0,-10.627,161.447
6.6,5.0,791.0,0.0,2.978,32.0,10.0,-18.2242,120.358
6.9,6.0,734.0,0.0,1.166,25.0,26.0,-14.3235,166.855
6.9,7.0,1280.0,415.0,0.0,12.5,11.0,-34.29,-71.891
6.5,5.0,652.0,286.0,0.0,47.3,39.7,4.756,126.421
8.0,7.0,1013.0,626.0,0.0,20.7,55.0,-20.187,-174.123
7.0,6.0,913.0,471.0,0.0,26.9,147.0,-7.641,-74.525
6.5,4.0,659.0,403.0,0.0,11.1,220.0,-5.486,146.822
7.8,9.0,2820.0,0.0,1.857,12.0,8.22,28.2305,84.7314
6.7,6.0,693.0,398.0,0.0,22.3,21.0,1.819,97.082
6.5,4.0,650.0,0.0,11.764,25.0,24.0,-28.4792,-176.619
7.8,9.0,1163.0,0.0,1.44,15.0,20.59,0.3819,-79.9218
7.3,6.0,820.0,486.0,0.0,13.4,33.0,-20.071,168.892
6.8,5.0,713.0,494.0,0.0,23.9,21.0,-3.899,101.02
7.1,7.0,776.0,439.0,0.0,28.8,10.0,-3.609,135.404
